Zombie | Just the regular.
Fallout Fiend | Don't provoke him.
Bloodsucker | He'll suck you dry.
Cannibal | Biting bitch.
Ghoul | Pale and skinny.
Asshole | We all know a person who is one.
Feral Wolf | Or lost puppy? Who knows.
Group of malicious rats | HIDE YOUR CHEESE!!
Lewis | An odd boy.
Idiot | What do you expect?
FBI Agent #686579 | Hide your browsing history!
Ashen Abomination | Rises from the ashes.
Evil Robot Overlord | He's here to kill human race
Whiny Bitch | She puking in my sink
Weird little man-child | A child over 40.
Toxic Scavenger | Scavanges the wastes
Skeleton | He got kicked outta his coffin
Rustclaw | Big paws he got.
Scrapmonger | Mongers scrap.
Moron | Just a little annoying
My Wife | She left me (again)
Racism | what
Decay Drone | It's all rusty anyway
486 angry bees | RUN
Killotron MK f77 | Mechanised killig machine
Homicidal Maniac | You'd better watch out
Venomous Vagabond | He has snakes in his skin
Erosion Emissary | The master of rust
Grim Goliath | Sad giant
Bucket of vomit(menacing) | Just...kick it over ig
Hungy vampire uwu | Prepare the garlic!
Master Exploder | He did not mean to blow your mind
Evil People | Maybe a protest?
617265 seconds to live. | count them!
Sexism | :(
Desolate Devourer | Eating disorder
Naked Raider | Just..don't look down there
Vengeful Void Vindicator | He'll get you!
Ticks(a lot of them) | Their legs tickle!
Hazardous Hellfire Harbinger | Self explanatory
Ravaged Rift Ripper | Ripping the rifts of spacetime
Meat bag | A bag of meat. (maybe alive)
Runny nose | Tissues needed!
Toxic Tempest Tyrant | HE'LL ENSLAVE YOU
796 notorious lizards | They be funky
Only a wet dream | I don't wanna hear it.
Killotron MK f75 | Mechanised killig machine
Gordon | No, not that one. The other one
The Living Dead | Are they?
Your smelly armpits | go take a shower bro
Society | AAHHHHH!!!
Mummified Mom | She is the coolest fuckin' bitch I know
Cactus man! | Pokes you
Cactus woman! | Pokes you
Teenage dirtbag | I've got two tickets to Iron Maiden
Gorehound | Likes watching people die.
Decayed Doombringer | Old guy
Eldritch Eruption Emissary | Why the tentacles
Spectral Scourge Sentinel | Guards the spectral rift
Echoes of Eternity Evoker | Evokes the Echo Legion
